Family,species,valid_Apr2016,Phylogeny,other phylogeny,Realm,time,element,activity Season Length,"breeding age (female, months)",field body temperature,preferred body temperature,Latitude_centroid,Longitude_centroid,npp,mean annual temperature,annual precipitation ,biome,insular endemic,foraging,sub-order,infraorder,log_mass
Chamaeleonidae,Chamaeleo dilepis,yes,Pyron and Burbrink 2014,Tolley et al. 2013,Afrotropic,Diurnal,air,NA,10.5,31.6,32.8,-8.684164114,27.05457785,11.64,22.42,1048.17,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Acrodontia,2.140292758
Scincidae,Trachylepis quinquetaeniata,yes,Pyron and Burbrink 2014,Sindaco et al. 2012,Afrotropic,Diurnal,air,NA,15,35.3,35.6,11.16913109,16.28647429,11.27,26.13,767.39,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,1.910916563
Gekkonidae,Hemidactylus angulatus,yes,Pyron and Burbrink 2014,Carranza and Arnold 2006,Afrotropic,Nocturnal,air,NA,9,30.9,#DIV/0!,9.239706903,13.5183801,11.42,25.65,975.53,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Gekkota,0.869324301
Gerrhosauridae,Gerrhosaurus nigrolineatus,yes,Pyron and Burbrink 2014,"Lamb and Bauer 2013, Bates et al. 2013",Afrotropic,Diurnal,air,NA,NA,34.2,#DIV/0!,-4.836956922,26.92388369,11.71,23.96,1292.18,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Scincoidea,2.196661612
Scincidae,Panaspis nimbaensis,yes,no,no,Afrotropic,Diurnal,air,12,6,NA,28.8,9.665459855,-9.576478769,11.72,25.88,1526.18,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,0.792171279
Chamaeleonidae,Trioceros bitaeniatus,yes,Pyron and Burbrink 2014,"Tolley et al. 2013, Ceccarelli et al. 2014, Stipala 2014",Afrotropic,Diurnal,air,12,NA,28.9,31.1,2.961190023,34.41053364,11.63,22.4,955,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Acrodontia,2.163926245
Chamaeleonidae,Trioceros jacksonii,yes,Pyron and Burbrink 2014,"Tolley et al. 2013, Ceccarelli et al. 2014, Stipala 2014",Afrotropic,Diurnal,air,12,14,30.4,32.1,-0.829527798,37.9896737,11.44,22.41,662.3,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,mixed,Sauria,Acrodontia,1.959880143
Chamaeleonidae,Trioceros schubotzi,yes,Pyron and Burbrink 2014,"Tolley et al. 2013, Ceccarelli et al. 2014, Stipala 2014",Afrotropic,Diurnal,air,12,NA,22.2,32.6,0.101037986,37.50019749,11.71,17.86,1174.79,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Acrodontia,1.146129288
Gekkonidae,Lygodactylus keniensis,yes,Pyron and Burbrink 2014,Castiglia and Annesi 2011,Afrotropic,Diurnal,air,NA,NA,34.16666667,#DIV/0!,2.479237636,37.74824429,11.24,24.64,442.16,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Gekkota,0.239791291
Scincidae,Trachylepis affinis,yes,Pyron and Burbrink 2014,Rocha et al. 2010,Afrotropic,Diurnal,air,12,6.5,NA,33.4,6.273138756,7.160065622,11.73,25.51,1496.75,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Scincoidea,1.07170316
Lacertidae,Meroles squamulosus,yes,Pyron and Burbrink 2014,"Edwards et al. 2012, Edwards et al. 2013",Afrotropic,Diurnal,air,NA,6.5,36.47,#DIV/0!,-19.77281365,26.3935143,11.45,21.02,652.26,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Lacertoidea,1.02403413
Scincidae,Trachylepis varia,yes,Pyron and Burbrink 2014,Sindaco et al. 2012,Afrotropic,Diurnal,air,NA,8,28.1,#DIV/0!,-13.32044227,29.1495193,11.59,21.56,865.77,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,mixed,Sauria,Scincoidea,0.852713208
Chamaeleonidae,Chamaeleo africanus,yes,Pyron and Burbrink 2014,Tolley et al. 2013,Afrotropic,Diurnal,air,NA,13.5,22.75,30.96,16.23405,16.96595909,10.84,25.65,523.79,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Acrodontia,2.169760388
Scincidae,Trachylepis perrotetii,yes,Pyron and Burbrink 2014,Sindaco et al. 2012,Afrotropic,Diurnal,air,NA,NA,NA,33.8,10.0894186,9.72184376,11.49,26.36,1010.43,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Scincoidea,2.157274919
Varanidae,Varanus niloticus,yes,Pyron and Burbrink 2014,"Ast 2001, Collar et al. 2011, Welton et al. 2013",Afrotropic,Diurnal,water,NA,24,30.75,34.8,-1.272023495,20.30119815,11.52,23.55,942.24,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Platynota,4.375616355
Scincidae,Trachylepis maculilabris,yes,Pyron and Burbrink 2014,"Sindaco et al. 2012, Lima et al. 2013",Afrotropic,Diurnal,air,12,5.75,36.45,35.5,0.941924356,17.89010631,11.79,24.09,1450.24,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,1.304668998
Varanidae,Varanus albigularis,yes,Pyron and Burbrink 2014,Collar et al. 2011,Afrotropic,Diurnal,air,NA,54,32.3,#DIV/0!,-13.78403233,28.81888846,11.4,21.4,696.4,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Platynota,4.175670225
Amphisbaenidae,Zygaspis quadrifrons,yes,Longrich et al. 2015,Measey and Tolley 2013,Afrotropic,Diurnal,earth,NA,NA,23.8,23.1,-18.09478348,24.88783689,11.45,20.85,700.14,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Amphisbaenia,Amphisbaenia (Lacertoidea),0.9263885
Agamidae,Agama planiceps,yes,Leache et al. 2014,Goncalves et al. 2012,Afrotropic,Diurnal,air,NA,16,39.75,#DIV/0!,-16.10488593,14.84984518,11.32,20.68,615.63,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Acrodontia,2.052662626
Liolaemidae,Liolaemus chacoensis,yes,Pyron and Burbrink 2014,"Camargo et al. 2012, Sheldon et al. 2015",Neotropic,Diurnal,air,NA,NA,34.8,32.8,-28.06911019,-64.34776681,11.5,19.09,590.64,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Pleurodonta,0.711903249
Tropiduridae,Tropidurus spinulosus,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,Diurnal,air,NA,NA,32.26,#DIV/0!,-16.77198352,-61.16014844,11.86,23.87,1222.77,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Pleurodonta,1.951322129
Scincidae,Aspronema dorsivittatum,yes,Pyron and Burbrink 2014,"Miralles et al. 2009, Hedges and Conn 2012",Neotropic,Diurnal,water,NA,NA,32.9,#DIV/0!,-20.67894566,-51.11348407,11.81,21.53,1479.11,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,1.185249063
Gekkonidae,Hemidactylus mabouia,yes,Pyron and Burbrink 2014,Carranza and Arnold 2006,Afrotropic,Cathemeral,air,NA,11.5,29.3,#DIV/0!,-6.873918086,16.2547642,11.76,22.93,1310.06,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Gekkota,1.153663569
Eublepharidae,Hemitheconyx caudicinctus,yes,Pyron and Burbrink 2014,Starostova et al. 2008,Afrotropic,Nocturnal,air,NA,12,NA,25.8,10.96860296,-2.4045835,11.51,26.8,1054.47,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Gekkota,1.973410544
Varanidae,Varanus exanthematicus,yes,Pyron and Burbrink 2014,"Ast 2001, Collar et al. 2011, Welton et al. 2013",Afrotropic,Diurnal,air,NA,NA,34,35.5,10.66164607,11.79798466,11.37,26.4,957.97,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Platynota,3.999823187
Lacertidae,Latastia longicaudata,yes,Pyron and Burbrink 2014,Mayer & Pavlicev 2007,Afrotropic,Diurnal,air,NA,NA,37.8,#DIV/0!,12.58832032,23.59177673,11,25.56,483.87,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,mixed,Sauria,Lacertoidea,1.481149814
Cordylidae,Platysaurus intermedius,yes,Pyron and Burbrink 2014,no,Afrotropic,Diurnal,air,NA,NA,28.835,31.2,-20.63880663,30.57145853,11.56,20.46,680.72,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Scincoidea,1.82790647
Cordylidae,Cordylus jonesii,yes,Pyron and Burbrink 2014,"Stanley et al. 2011, Greenbaum et al. 2012, Nielsen and Colston 2014",Afrotropic,NA,air,NA,36,33.5,33.60037736,-23.49596666,29.98011569,11.48,20.37,614.47,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Scincoidea,1.301034512
Scincidae,Afroablepharus wahlbergi,yes,Medina et al. 2016,"Pyron and Burbrink 2014, Jesus et al. 2013",Afrotropic,Diurnal,air,NA,8,33,#DIV/0!,-12.88294988,33.60543418,11.53,22.23,789.82,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,0.707155136
Gekkonidae,Lygodactylus capensis,yes,Pyron and Burbrink 2014,"Roll et al. 2010, Travers et al. 2014",Afrotropic,Diurnal,air,12,8,36,#DIV/0!,-15.78965375,28.26477749,11.65,21.61,907.87,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Gekkota,0.268006406
Gerrhosauridae,Gerrhosaurus flavigularis,yes,Pyron and Burbrink 2014,Lamb and Bauer 2013,Afrotropic,Diurnal,air,NA,NA,33.3,#DIV/0!,-18.17496408,31.54506162,11.52,20.66,767.87,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,1.903173978
Scincidae,Trachylepis punctatissima,yes,no,no,Afrotropic,Diurnal,air,NA,NA,34.845,#DIV/0!,-25.53034926,26.87220663,11.35,17.77,572.96,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Scincoidea,1.427880218
Lacertidae,Heliobolus lugubris,yes,Pyron and Burbrink 2014,no,Afrotropic,Diurnal,air,NA,NA,38.16,#DIV/0!,-20.83935736,21.45945137,11.26,20.61,478.73,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Lacertoidea,0.806907315
Lacertidae,Nucras intertexta,yes,Edwards et al. 2013,Edwards et al. 2013,Afrotropic,Diurnal,air,NA,NA,38.9,#DIV/0!,-23.21964717,24.65507066,11.26,19.71,464.45,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Lacertoidea,1.279700296
Agamidae,Acanthocercus atricollis,yes,Leache et al. 2014,Pyron and Burbrink 2014,Afrotropic,Diurnal,air,NA,NA,39.825,#DIV/0!,-11.14102187,29.80220515,11.65,22.14,941.14,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Acrodontia,2.247452923
Gerrhosauridae,Broadleysaurus major,yes,Pyron and Burbrink 2014,Lamb and Bauer 2013,Afrotropic,Diurnal,air,NA,NA,31.7,#DIV/0!,-8.152065175,30.11646548,11.6,23.62,922.53,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Sit&wait,Sauria,Scincoidea,2.58757737
Scincidae,Mochlus sundevalli,yes,Pyron and Burbrink 2014,no,Afrotropic,Diurnal,earth,NA,NA,32.7,#DIV/0!,-12.02438914,29.24295517,11.52,22.14,762.43,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Scincoidea,1.804847427
Lacertidae,Heliobolus spekii,yes,Pyron and Burbrink 2014,no,Afrotropic,Diurnal,air,NA,NA,36.8,#DIV/0!,2.627516071,39.58650617,11.27,24.73,546.22,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,mixed,Sauria,Lacertoidea,0.70432434
Scincidae,Panaspis togoensis,yes,Pyron and Burbrink 2014,Medina et al. 2016,Afrotropic,Diurnal,air,NA,6.5,NA,27.1,8.41195228,5.335708371,11.68,25.86,1361.23,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Scincoidea,0.494631124
Chamaeleonidae,Trioceros ellioti,yes,Pyron and Burbrink 2014,"Tolley et al. 2013, Ceccarelli et al. 2014, Stipala 2014",Afrotropic,Diurnal,air,12,7.5,32.25,33.4,-0.171510388,31.19116704,11.79,20.8,1266.21,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Acrodontia,1.327548248
Tropiduridae,Tropidurus catalanensis,yes,Carvalho et al. 2016,no,Neotropic,Diurnal,air,NA,NA,36.1,34.4,-28.22937067,-57.10085801,11.8,20.41,1418.41,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,NA,Sauria,Pleurodonta,1.885413431
Teiidae,Contomastix lacertoides,yes,Reeder et al. 2002,Koch et al. 2013,Neotropic,Diurnal,air,NA,NA,35.1,#DIV/0!,-19.48755798,-62.56976815,11.76,20.82,838.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Lacertoidea,1.118582147
Teiidae,Cnemidophorus gramivagus,yes,Pyron and Burbrink 2014,Reeder et al. 2002,Neotropic,Diurnal,air,NA,NA,37.65,#DIV/0!,4.796760572,-69.71703821,11.8,26.95,2347.81,"Tropical & Subtropical Grasslands, Savannas & Shrublands",no,Active,Sauria,Lacertoidea,1.673464346
Sphaerodactylidae,Gonatodes albogularis,yes,Pyron and Burbrink 2014,Schargel et al. 2010,Neotropic,Diurnal,air,12,8.25,27.24,#DIV/0!,9.419686592,-79.14585321,11.67,24.78,2465.35,Tropical & Subtropical Moist Broadleaf Forests,no,,Sauria,Gekkota,0.435286475
Dactyloidae,Anolis chrysolepis,yes,Pyron and Burbrink 2014,no,Neotropic,Diurnal,air,NA,NA,28.95,#DIV/0!,-6.454220755,-58.0484338,11.93,24.87,2041.07,Tropical & Subtropical Moist Broadleaf Forests,no,mixed,Sauria,Pleurodonta,0.925279719
Scincidae,Eutropis rudis,yes,Pyron and Burbrink 2014,"Datta-Roy et al. 2012, Barley et al. 2014",Oriental,Diurnal,air,NA,NA,32.83,#DIV/0!,3.876126794,118.1322599,11.77,24.94,2578.68,Tropical & Subtropical Moist Broadleaf Forests,yes,NA,Sauria,Scincoidea,1.588676243
Liolaemidae,Liolaemus huacahuasicus,yes,Pyron and Burbrink 2014,no,Neotropic,Diurnal,air,NA,NA,31.75,#DIV/0!,-26.57749748,-65.75886872,11.28,11.73,282.13,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,1.146879695
Liolaemidae,Liolaemus pagaburoi,yes,Pyron and Burbrink 2014,Pincheira-Donoso et al. 2008,Neotropic,Diurnal,air,NA,NA,31.7,#DIV/0!,-26.88049503,-65.89480324,11.31,12.01,337.87,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Pleurodonta,0.764655501
Scincidae,Oligosoma lichenigera,yes,Pyron and Burbrink 2014,"Smith et al. 2007, Chapple et al. 2009",Oceania,Cathemeral,air,NA,42,25.9,#DIV/0!,-31.5576476,159.084311,0,18.9,1534,Tropical & Subtropical Moist Broadleaf Forests,yes,NA,Sauria,Scincoidea,1.020077568
Gekkonidae,Christinus guentheri,yes,Heinicke et al. 2014,no,Oceania,Nocturnal,air,NA,NA,20.25,#DIV/0!,-31.5671863,159.0865209,0,18.9,1534,Tropical & Subtropical Moist Broadleaf Forests,yes,NA,Sauria,Gekkota,1.303745074
Scincidae,Concinnia queenslandiae,yes,Pyron and Burbrink 2014,"Skinner et al. 2013, Rabosky et al. 2014",Australia,Cathemeral,earth,NA,NA,32.7,#DIV/0!,-17.10694851,145.4154039,11.59,22.91,1809.33,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Scincoidea,1.105093711
Dactyloidae,Anolis distichus,yes,Pyron and Burbrink 2014,"Geneva et al. 2015 (for Anolis ocior and Anolis dominicensis), Nicholson et al. 2005, ",Neotropic,Diurnal,air,NA,9,28.95,#DIV/0!,19.66796169,-72.22093579,11.49,24.24,1341.11,Tropical & Subtropical Moist Broadleaf Forests,yes,NA,Sauria,Pleurodonta,0.622786596
Eublepharidae,Coleonyx elegans,yes,Pyron and Burbrink 2014,Kratochvil & Frynta 2002,Neotropic,Nocturnal,air,NA,11.5,NA,23.8,18.21337817,-92.99536025,11.72,24.92,1554.06,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Gekkota,1.566734956
Gymnophthalmidae,Cercosaura eigenmanni,yes,Pyron and Burbrink 2014,"Doan 2003, Colli et al. 2015, Torres-Carvajal et al. 2015, Torres-Carvajal et al. 2016",Neotropic,Diurnal,air,NA,NA,28.55,#DIV/0!,-12.56296377,-65.04042122,11.96,24.31,1871.23,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,0.488243041
Dactyloidae,Anolis fuscoauratus,yes,Pyron and Burbrink 2014,Alfoldi et al. 2011,Neotropic,Diurnal,air,NA,NA,28.55,#DIV/0!,-3.479882798,-60.63011609,11.9,24.7,2017.96,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,0.474481837
Sphaerodactylidae,Gonatodes hasemani,yes,Pyron and Burbrink 2014,Gamble et al. 2008b,Neotropic,Diurnal,air,NA,NA,30.6,#DIV/0!,-7.928686734,-65.09202132,11.98,24.86,2217.09,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Gekkota,0.38039076
Tropiduridae,Tropidurus melanopleurus,yes,Frost et al. 2001,Frost et al. 2001,Neotropic,NA,air,NA,NA,32.35,#DIV/0!,-18.76114209,-65.93307356,11.57,15.93,809.96,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Pleurodonta,1.655762648
Amphisbaenidae,Amphisbaena mertensii,yes,Pyron and Burbrink 2014,"Vidal et al. 2008, Mott and Vieites 2009, Teixeira et al. 2014, Longrich et al. 2015",Neotropic,NA,earth,NA,NA,22.35,21.4,-23.36022693,-52.03624894,11.85,20.99,1362.11,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Amphisbaenia,Amphisbaenia (Lacertoidea),1.822424914
Tropiduridae,Tropidurus insulanus,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,NA,air,NA,NA,34.5,31.54,-8.947733577,-54.89999978,12,25.04,2339.06,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,1.378370246
Tropiduridae,Tropidurus torquatus,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,Diurnal,air,NA,5,33.5,34.99,-10.40790263,-54.50705244,11.89,23.82,1757.78,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,1.899597947
Tropiduridae,Tropidurus hispidus,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,Diurnal,air,12,NA,34.1,34.47,-8.414723423,-50.69976612,11.87,24.57,1719.75,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,1.943706466
Tropiduridae,Tropidurus oreadicus,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,Diurnal,air,NA,NA,35.5,36.2,-10.48226385,-53.16926119,11.9,24.85,1802.83,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,1.739397358
Polychrotidae,Polychrus acutirostris,yes,Pyron and Burbrink 2014,no,Neotropic,Diurnal,air,NA,8.75,35,#DIV/0!,-12.91299887,-50.9932978,11.86,23.83,1498.97,Tropical & Subtropical Moist Broadleaf Forests,no,mixed,Sauria,Pleurodonta,2.024063953
Scincidae,Psychosaura macrorhyncha,yes,Pyron and Burbrink 2014,Hedges and Conn 2012,Neotropic,Diurnal,air,NA,11,31.9,#DIV/0!,-17.87696238,-42.81637485,11.82,21.53,1154.5,Tropical & Subtropical Moist Broadleaf Forests,no,mixed,Sauria,Scincoidea,1.105093711
Liolaemidae,Liolaemus lutzae,yes,Pyron and Burbrink 2014,"Pincheira-Donoso et al. 2008, Olave et al. 2014",Neotropic,Diurnal,air,NA,12,32.65,#DIV/0!,-22.16431948,-42.08095616,11.7,21.88,1227.32,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,1.359260851
Phyllodactylidae,Phyllopezus pollicaris,yes,Pyron and Burbrink 2014,"Gamble et al. 2012, Torres-Carvajal et al. 2014",Neotropic,Cathemeral,air,12,NA,27.4,#DIV/0!,-14.78654637,-50.97542843,11.84,23.4,1436.87,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Gekkota,1.342396018
Scincidae,Brasiliscincus agilis,yes,Pyron and Burbrink 2014,Hedges and Conn 2012,Neotropic,Diurnal,air,12,NA,32.95,#DIV/0!,-17.24582236,-41.12293534,11.82,22.07,1140.87,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Scincoidea,1.275753811
Teiidae,Kentropyx calcarata,yes,Pyron and Burbrink 2014,Wereneck et al. 2009,Neotropic,Diurnal,air,12,NA,35.9,#DIV/0!,-10.94423929,-51.63895879,11.87,24.29,1627.78,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,1.70795105
Teiidae,Ameivula ocellifera,yes,Pyron and Burbrink 2014,"Giugliano et al. 2007, Goicoechea et al. 2016",Neotropic,Diurnal,air,12,NA,37.25,#DIV/0!,-13.21921852,-50.01423459,11.85,23.53,1504.58,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,1.719253675
Teiidae,Glaucomastix littoralis,yes,no,no,Neotropic,Diurnal,air,12,NA,37.6,#DIV/0!,-21.92643657,-42.7949412,11.79,20.89,1360.42,Tropical & Subtropical Moist Broadleaf Forests,no, ,Sauria,Lacertoidea,1.201662774
Teiidae,Ameivula nativo,yes,no,no,Neotropic,NA,air,12,NA,38.4,#DIV/0!,-16.75869934,-39.50161438,11.74,24.02,1308.48,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,0.981572742
Hoplocercidae,Enyalioides laticeps,yes,Pyron and Burbrink 2014,Torres-Carvajal and de Queiroz 2009,Neotropic,Diurnal,air,NA,NA,25,#DIV/0!,-3.798945651,-71.18916947,11.96,24.3,2603.79,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,2.088302573
Gymnophthalmidae,Potamites juruazensis,yes,Pyron and Burbrink 2014,"Castoe et al. 2004, Colli et al. 2015, Torres-Carvajal et al. 2016",Neotropic,Diurnal,water,NA,NA,26.25,#DIV/0!,-9.457562942,-73.28666256,11.94,22.66,1907.3,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,0.644839235
Dactyloidae,Anolis tandai,yes,D'angiolella et al. 2011,D'angiolella et al. 2011,Neotropic,Diurnal,air,NA,NA,27.7,#DIV/0!,-10.76533284,-67.58431366,12,25.56,1846.15,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,0.925279719
Gymnophthalmidae,Iphisa elegans,yes,Pyron and Burbrink 2014,"Castoe et al. 2004, Colli et al. 2015",Neotropic,Diurnal,air,NA,NA,29.5,#DIV/0!,-4.021123476,-63.13906081,11.96,24.55,2311.14,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,0.763422494
Liolaemidae,Liolaemus occipitalis,yes,Pyron and Burbrink 2014,Pincheira-Donoso et al. 2008,Neotropic,Diurnal,air,NA,NA,31.355,#DIV/0!,-28.70123406,-50.45323806,11.66,17.71,1530.95,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Pleurodonta,1.064785811
Dactyloidae,Anolis philopunctatus,yes,Prates et al. 2014,Castaneda and de Queiroz 2013,Neotropic,Diurnal,air,NA,NA,29.2,#DIV/0!,-3.640828391,-59.05715814,11.99,26.8,2279.28,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Pleurodonta,1.175381463
Gymnophthalmidae,Loxopholis percarinatum,yes,Goicoechea et al. 2016,"Pyron and Burbrink 2014, Pellegrino et al. 2011, Colly et al. 2015",Neotropic,Cathemeral,water,NA,NA,29.7,#DIV/0!,-3.409191239,-58.44646577,11.97,25.49,2295.27,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Lacertoidea,0.000202093
Scincidae,Copeoglossum nigropunctatum,yes,Pyron and Burbrink 2014,"Miralles et al. 2009, Hedges and Conn 2012, Pinto-Sanchez et al. 2015",Neotropic,Diurnal,air,NA,NA,33.05,#DIV/0!,-6.60696388,-59.83886519,11.91,24.48,2045.98,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Scincoidea,1.504390294
Scincidae,Trachylepis atlantica,yes,Pyron and Burbrink 2014,Sindaco et al. 2012,Neotropic,Diurnal,air,NA,NA,32.2,#DIV/0!,-3.858595555,-32.43229867,0,26.95,1348,Tropical & Subtropical Moist Broadleaf Forests,yes,Active,Sauria,Scincoidea,1.37581223
Scincidae,Varzea bistriata,yes,Pyron and Burbrink 2014,"Hedges and Conn 2012, Pinto-Sanchez et al. 2015",Neotropic,Diurnal,air,NA,NA,32.9,#DIV/0!,-4.335030763,-59.85041514,11.97,25.66,2316.61,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Scincoidea,1.453850162
Tropiduridae,Eurolophosaurus nanuzae,yes,Pyron and Burbrink 2014,Passoni et al. 2008,Neotropic,Diurnal,air,NA,NA,34.1,#DIV/0!,-17.88301779,-42.83776732,11.91,21.09,1186.12,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,0.989513004
Scincidae,Plestiodon elegans,yes,Pyron and Burbrink 2014,Brandley et al. 2012,Palearctic,Diurnal,air,NA,NA,31,28.6,28.03033056,110.2263532,11.45,15.86,1281.15,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Scincoidea,1.401420247
Gekkonidae,Hemidactylus bowringii,yes,Pyron and Burbrink 2014,Carranza and Arnold 2006,Oriental,Nocturnal,air,NA,11,NA,31.2,23.65352597,103.7854562,11.58,19.73,1684.02,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Gekkota,1.031464982
Scincidae,Plestiodon chinensis,yes,Pyron and Burbrink 2014,Brandley et al. 2012,Palearctic,Diurnal,air,NA,NA,NA,32.35,27.587819,109.5725204,11.46,15.68,1298.74,Tropical & Subtropical Moist Broadleaf Forests,no,NA,Sauria,Scincoidea,1.743421394
Dactyloidae,Anolis poecilopus,yes,Pyron and Burbrink 2014,Nicholson et al. 2005,Neotropic,Diurnal,water,12,2.335,26.5,#DIV/0!,8.062816086,-76.51338109,11.77,25.53,2717.67,Tropical & Subtropical Moist Broadleaf Forests,no,Sit&wait,Sauria,Pleurodonta,0.925279719
Scincidae,Scincella cherriei,yes,Pyron and Burbrink 2014,Skinner et al. 2011,Neotropic,Diurnal,air,12,9.5,27,#DIV/0!,15.67793169,-87.78692999,11.75,24.81,2213.45,Tropical & Subtropical Moist Broadleaf Forests,no,Active,Sauria,Scincoidea,0.792171279
